Address,Price,Beds,Baths,Sqft
"1935 N Fairfield Ave APT 112, Chicago, IL 60647Sold",250000,1,1,850
"1710 N Albany Ave # 2, Chicago, IL 60647Sold",420000,3,2,"1,400"
"1935 N Fairfield Ave APT 304, Chicago, IL 60647Sold",359000,2,2,"1,200"
"1740 N Maplewood Ave APT 205, Chicago, IL 60647Sold",382500,2,2,"1,150"
"2730 W Armitage Ave # 3E, Chicago, IL 60647Sold",545000,3,2,"1,700"
"1729 N Spaulding Ave # 1, Chicago, IL 60647Sold",700000,4,4,"3,000"
"1659 N Francisco Ave, Chicago, IL 60647Sold",394000,5,3,"1,900"
"1709 N Washtenaw Ave, Chicago, IL 60647Sold",895000,5,5,"3,700"
"1637 N Whipple St, Chicago, IL 60647Sold",636500,4,4,"3,000"
"2532 W Bloomingdale Ave, Chicago, IL 60647Sold",515000,3,3,"2,400"
"2779 W Henry Ct # 1, Chicago, IL 60647Sold",775000,6,3,"3,000"
"2544 W North Ave APT 3D, Chicago, IL 60647Sold",389000,2,2,"1,250"
"1812 N Sawyer Ave # 3, Chicago, IL 60647Sold",534000,3,3,"2,100"
"1848 N California Ave # 1, Chicago, IL 60647Sold",585000,3,3,"2,400"
"1815 N Rockwell St, Chicago, IL 60647Sold",435000,3,2,"1,312"
"1812 N Sawyer Ave # 2, Chicago, IL 60647Sold",450000,3,3,"1,900"
"2063 N Mozart St, Chicago, IL 60647Sold",797500,4,4,"3,370"
"2041 N Whipple St, Chicago, IL 60647Sold",762000,4,4,"3,546"
"1747 N Albany Ave, Chicago, IL 60647Sold",800000,5,4,"3,200"
"2544 W North Ave, Chicago, IL 60647Sold",389000,2,2,"1,250"
"1703 N Fairfield Ave, Chicago, IL 60647Sold",880000,4,4,"1,996"
"1816 N Rockwell St # B, Chicago, IL 60647Sold",500000,3,3.5,"2,684"
"2525 W Cortland St, Chicago, IL 60647Sold",810000,5,4,"3,645"
"1724 N Talman Ave # 5, Chicago, IL 60647Sold",537000,8,3,"3,280"
"1734 Mozart, Chicago, IL 60647Sold",389000,4,2,"3,200"
"2547 W Moffat St # 1, Chicago, IL 60647Sold",518000,3,3,"2,400"
"1915 N Sawyer Ave, Chicago, IL 60647Sold",462000,3,2,"3,300"
"1719 N Rockwell St, Chicago, IL 60647Sold",445000,4,2,"2,100"
"2044 N Whipple St, Chicago, IL 60647Sold",933500,4,4,"3,750"
"1942 N Francisco Ave APT 2S, Chicago, IL 60647Sold",360000,2,2,"1,052"
"2019 N Sawyer Ave # 1, Chicago, IL 60647Sold",400000,2,2,"2,256"
"1720 N Kedzie Ave APT C, Chicago, IL 60647Sold",235000,3,3,"1,350"
"1710 N Albany Ave # 1, Chicago, IL 60647Sold",546250,5,3,"2,900"
"1829 N Albany Ave, Chicago, IL 60647Sold",935000,4,4,"3,500"
"3262 W Armitage Ave UNIT 5, Chicago, IL 60647Sold",287500,3,3,"1,976"
"1816 N California Ave APT 3N, Chicago, IL 60647Sold",502900,2,2,"1,400"
"2740 W Armitage Ave APT 403S, Chicago, IL 60647Sold",380000,2,2,"1,200"
"1751 N Talman Ave, Chicago, IL 60647Sold",744000,4,4,"3,200"
"1907 N Whipple St # 2, Chicago, IL 60647Sold",335000,2,1,"1,500"
"2644 W Cortland St, Chicago, IL 60647Sold",889000,4,4,"3,800"
"2634 W Cortland St, Chicago, IL 60647Sold",889000,5,4,"4,000"
"1816 N Rockwell St UNIT B, Chicago, IL 60647Sold",500000,3,4,"2,684"
"1733 N Albany Ave, Chicago, IL 60647Sold",610000,4,3,"2,950"
"2544 W North Ave, Chicago, IL 60647Sold",373000,2,2,"1,533"
"1740 N Maplewood Ave # P1A, Chicago, IL 60647Sold",345000,2,1,"1,100"
"1621 N Mozart St APT 1N, Chicago, IL 60647Sold",450000,3,3,"2,400"
"1733 N Mozart St, Chicago, IL 60647Sold",685000,4,4,"3,000"
"2720 W Cortland St APT 203, Chicago, IL 60647Sold",305000,2,2,980
"1849 N Mozart St, Chicago, IL 60647Sold",607000,5,3,"2,500"
"1702 N Maplewood Ave # 1, Chicago, IL 60647Sold",647000,4,4,"3,100"
"1736 N Francisco Ave, Chicago, IL 60647Sold",295000,4,4,"2,100"
"2511 W Moffat St # P-45, Chicago, IL 60647Sold",380500,2,2,"1,431"
"2511 W Moffat St APT 302-K, Chicago, IL 60647Sold",380500,2,2,"1,431"
"1700 N Talman Ave APT 3, Chicago, IL 60647Sold",435000,2,2,"1,400"
"2512 W Bloomingdale Ave APT B, Chicago, IL 60647Sold",400000,2,2,"1,300"
"2948 W Cortland St APT 1, Chicago, IL 60647Sold",290000,2,2,"1,100"
