Rk,School,G,Pts,Cmp,pAtt,Pct,pYds,pTD,rAtt,rYds,rAvg,rTD,Plays,totYds,totAvg,fdPass,fdRush,fdPen,fdTot,pen,penYds,Fum,Int,TO
11,Wake Forest,6,41.2,20.8,31.5,66.1,292.8,3.3,39.8,147.7,3.7,1.7,71.3,440.5,6.2,13.3,8.2,2.3,23.8,4.7,43,0.2,0.3,0.5
12,Washington,6,41,27.5,42.8,64.2,357.3,2.7,33,141.2,4.3,2.5,75.8,498.5,6.6,17.5,8,2,27.5,6.7,62,0.2,0.7,0.8
13,Western Kentucky,6,40.8,30.8,43.3,71.2,355.8,3.3,29.5,141,4.8,1.5,72.8,496.8,6.8,15.7,7.7,2.5,25.8,7,64.8,0.7,0.8,1.5
14,Utah,6,40.3,20.7,29.8,69.3,256.3,2.3,39.7,201.5,5.1,2.5,69.5,457.8,6.6,11.8,12.2,1.8,25.8,5.3,44.5,0.5,0.5,1
15,USC,6,40.2,21.3,32.7,65.3,278.5,2.3,34.8,183.3,5.3,2.3,67.5,461.8,6.8,12.2,11,2.3,25.5,6.3,62.5,0,0.2,0.2
16,Kansas,6,39.8,16,23.8,67.1,226.3,2.5,36.2,215.2,5.9,2.7,60,441.5,7.4,10.3,9,1.5,20.8,5.2,53.2,0.8,0.3,1.2
17,Ole Miss,6,39.7,17,27.5,61.8,248.3,1.7,43.5,242,5.6,3.5,71,490.3,6.9,10.2,13.2,1.5,24.8,6,54.5,0.5,1,1.5
18,Georgia,6,39.5,25.5,37,68.9,320.3,1.2,34.7,197.5,5.7,3.5,71.7,517.8,7.2,15,10.2,1.5,26.7,4.2,40.8,0.8,0.2,1
19,Clemson,6,39.3,21.7,34.5,62.8,254.8,2.5,37,170.5,4.6,2.3,71.5,425.3,5.9,10.5,9.3,2.5,22.3,6,56.7,0.5,0.3,0.8
20,Texas,6,38.8,20.2,29.2,69.1,267.3,2.2,35,178,5.1,2.2,64.2,445.3,6.9,12.3,9.7,2.8,24.8,5.5,43.2,0.2,0.5,0.7
21,Minnesota,5,38.6,17.4,25.4,68.5,250.2,1.4,47,244.4,5.2,3.6,72.4,494.6,6.8,11.4,15.2,1.4,28,4,36.6,0.4,0.8,1.2
22,Mississippi State,6,38.5,34.3,47.8,71.8,354.7,3.7,25.3,106.7,4.2,1.3,73.2,461.3,6.3,16.7,6.8,2.5,26,5.8,64.7,1.2,0.5,1.7
23,Syracuse,5,38.4,18.6,26.6,69.9,251.2,2,40.6,190.4,4.7,2.2,67.2,441.6,6.6,12.4,9.6,2.4,24.4,10,72.4,0.6,0.2,0.8
24,Cincinnati,6,38.2,21.3,32,66.7,278.7,2.5,32.7,156.8,4.8,2,64.7,435.5,6.7,12.5,7.2,1.2,20.8,9,80.5,0.7,1,1.7
25,West Virginia,5,38.2,25.2,39.4,64,268.6,2,38.4,186.2,4.8,2.6,77.8,454.8,5.8,13.4,9.4,4.4,27.2,6.8,57.6,0.6,0.4,1
26,Baylor,5,37.4,20.8,29.8,69.8,248.4,1.8,40.4,187.8,4.6,3.2,70.2,436.2,6.2,10.8,9.8,3,23.6,6.4,57.4,0.4,0.6,1
27,UTSA,6,37.3,26.8,39.3,68.2,350.3,2.5,37.5,148,3.9,2.2,76.8,498.3,6.5,16.5,9.5,1.7,27.7,7.7,64.7,0.5,0.8,1.3
28,Georgia Southern,6,37,28.7,47.3,60.6,322.2,2.2,32,169.7,5.3,2.5,79.3,491.8,6.2,15.2,8.7,2.7,26.5,4.5,41,0.2,1.8,2
