home_team,home_model_points,away_team,away_model_points,vegas_spread,vegas_over_under,model_over_under,model_spread,spread_difference,abs_difference,OU_Prediction,Model_Pick,Model_SU_Pick,actual_home,actual_away,actual_winner,spread_winner,OU_winner,home_residual,away_residual,abs_home_residual,abs_away_residual,spread_result,OU_result,SU_result,Week
Virginia,34.24934449,Duke,21.29769927,-11,69,55.54704375,-12.95164522,-1.951645215,1.951645215,Under,Virginia,Virginia,48,0,Virginia,Virginia,Under,13.75065551,-21.29769927,13.75065551,21.29769927,Win,Win,Win,7
New Mexico,14.47092911,Colorado State,23.06685832,10.5,44,37.53778743,8.595929213,-1.904070787,1.904070787,Under,New Mexico,Colorado State,7,36,Colorado State,Colorado State,Under,-7.470929107,12.93314168,7.470929107,12.93314168,Loss,Win,Win,7
Missouri,24.76773852,Texas A&M,35.60315665,9,60.5,60.37089518,10.83541813,1.835418129,1.835418129,Under,Texas A&M,Texas A&M,14,35,Texas A&M,Texas A&M,Under,-10.76773852,-0.603156653,10.76773852,0.603156653,Win,Win,Win,7
Mississippi State,23.7759624,Alabama,42.85269471,17.5,58,66.62865711,19.07673232,1.576732315,1.576732315,Over,Alabama,Alabama,9,49,Alabama,Alabama,Under,-14.7759624,6.147305286,14.7759624,6.147305286,Win,Loss,Win,7
Kansas,23.57813356,Texas Tech,41.60658914,16.5,66.5,65.1847227,18.02845558,1.528455577,1.528455577,Under,Texas Tech,Texas Tech,41,14,Kansas,Kansas,Under,17.42186644,-27.60658914,17.42186644,27.60658914,Loss,Win,Loss,7
North Texas,19.13502163,Marshall,30.98097124,11,66,50.11599287,11.8459496,0.845949603,0.845949603,Under,Marshall,Marshall,21,49,Marshall,Marshall,Over,1.864978367,18.01902876,1.864978367,18.01902876,Win,Loss,Win,7
Louisiana,19.80204269,Appalachian State,25.56331243,5,57.5,45.36535512,5.761269745,0.761269745,0.761269745,Under,Appalachian State,Appalachian State,41,13,Louisiana,Louisiana,Under,21.19795731,-12.56331243,21.19795731,12.56331243,Loss,Win,Loss,7
South Alabama,22.44251271,Georgia Southern,18.70460754,-3,50,41.14712025,-3.737905171,-0.737905171,0.737905171,Under,South Alabama,South Alabama,41,14,South Alabama,South Alabama,Over,18.55748729,-4.704607538,18.55748729,4.704607538,Win,Loss,Win,7
Georgia,34.47041093,Kentucky,10.89113618,-23,44.5,45.36154711,-23.57927476,-0.579274756,0.579274756,Over,Georgia,Georgia,30,13,Georgia,Kentucky,Under,-4.470410935,2.108863821,4.470410935,2.108863821,Loss,Loss,Win,7
Western Michigan,32.07474851,Kent State,25.93118353,-6.5,65,58.00593204,-6.143564986,0.356435014,0.356435014,Under,Kent State,Western Michigan,64,31,Western Michigan,Western Michigan,Over,31.92525149,5.068816475,31.92525149,5.068816475,Loss,Loss,Win,7
UTEP,22.76183008,Louisiana Tech,29.46825738,7,55,52.23008746,6.706427299,-0.293572701,0.293572701,Under,UTEP,Louisiana Tech,19,3,UTEP,UTEP,Under,-3.761830081,-26.46825738,3.761830081,26.46825738,Win,Win,Loss,7
Memphis,35.73840461,Navy,24.99339905,-10.5,55,60.73180366,-10.74500557,-0.245005568,0.245005568,Over,Memphis,Memphis,35,17,Memphis,Memphis,Under,-0.738404614,-7.993399046,0.738404614,7.993399046,Win,Loss,Win,7
Texas State,17.51452644,Troy,25.21892984,7.5,50,42.73345629,7.704403401,0.204403401,0.204403401,Under,Troy,Troy,28,31,Troy,Texas State,Over,10.48547356,5.781070157,10.48547356,5.781070157,Loss,Loss,Win,7
Colorado,22.69806071,Arizona,15.24502587,-7.5,45.5,37.94308659,-7.453034839,0.046965161,0.046965161,Under,Arizona,Colorado,34,0,Colorado,Colorado,Under,11.30193929,-15.24502587,11.30193929,15.24502587,Loss,Win,Win,7
